id,name,industry,annual_project_target,locales,project_types
1,Microsoft,Software,320,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP', 'zh-CN']","['UI', 'Documentation', 'Marketing', 'Training']"
2,Nintendo,Gaming,260,"['ja-JP', 'fr-FR', 'de-DE', 'es-ES']","['UI', 'Marketing', 'Subtitles']"
3,IKEA,Retail,210,"['fr-FR', 'de-DE', 'es-ES', 'it-IT', 'nl-NL', 'pl-PL']","['Marketing', 'Documentation', 'Training']"
4,HSBC,Finance,180,"['fr-FR', 'de-DE', 'zh-CN']","['Documentation', 'Legal', 'Training']"
5,Netflix,Media & Entertainment,240,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP', 'ko-KR']","['Marketing', 'Subtitles', 'UI']"
6,Adobe,Software,220,"['fr-FR', 'de-DE', 'ja-JP', 'zh-CN', 'ko-KR']","['UI', 'Documentation', 'Marketing']"
7,Salesforce,Software,280,"['fr-FR', 'de-DE', 'es-ES', 'it-IT', 'ja-JP']","['UI', 'Documentation', 'Training']"
8,Sony Interactive,Gaming,200,"['ja-JP', 'en-GB', 'fr-FR', 'de-DE', 'es-ES']","['UI', 'Subtitles', 'Marketing']"
9,Pfizer,Healthcare,150,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP']","['Legal', 'Documentation', 'Training']"
10,Roche,Healthcare,120,"['de-DE', 'fr-FR', 'it-IT', 'es-ES']","['Documentation', 'Training']"
11,Spotify,Media & Entertainment,170,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP', 'ko-KR']","['UI', 'Marketing', 'Subtitles']"
12,Uber,Software,230,"['fr-FR', 'de-DE', 'es-ES', 'pt-BR', 'ja-JP']","['UI', 'Documentation', 'Marketing']"
13,Coca-Cola,Retail,150,"['fr-FR', 'de-DE', 'es-ES', 'it-IT', 'pt-BR']","['Marketing', 'Training']"
14,Nike,Retail,130,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP']","['Marketing', 'UI']"
15,Airbnb,Travel,190,"['fr-FR', 'de-DE', 'es-ES', 'it-IT', 'ja-JP']","['UI', 'Marketing', 'Documentation']"
16,Oracle,Software,200,"['fr-FR', 'de-DE', 'ja-JP', 'zh-CN']","['Documentation', 'UI', 'Training']"
17,SAP,Software,250,"['de-DE', 'fr-FR', 'es-ES', 'ja-JP']","['Documentation', 'Training', 'UI']"
18,Lego,Gaming,130,"['da-DK', 'de-DE', 'fr-FR', 'es-ES']","['Marketing', 'UI', 'Subtitles']"
19,Toyota,Manufacturing,170,"['ja-JP', 'en-US', 'de-DE', 'fr-FR']","['Documentation', 'Training']"
20,Siemens,Manufacturing,160,"['de-DE', 'fr-FR', 'es-ES', 'zh-CN']","['Documentation', 'Legal', 'Training']"
21,Coursera,E-learning,140,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP']","['UI', 'Subtitles', 'Documentation']"
22,Duolingo,E-learning,120,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP', 'ko-KR']","['UI', 'Marketing', 'Documentation']"
23,Barclays,Finance,110,"['en-GB', 'fr-FR', 'de-DE']","['Legal', 'Documentation']"
24,JPMorgan,Finance,140,"['en-US', 'fr-FR', 'de-DE', 'ja-JP']","['Legal', 'Training', 'Documentation']"
25,Booking.com,Travel,180,"['nl-NL', 'fr-FR', 'de-DE', 'es-ES', 'it-IT']","['UI', 'Marketing']"
26,Baker McKenzie,Legal,90,"['en-US', 'fr-FR', 'de-DE', 'es-ES']","['Legal', 'Documentation']"
27,DLA Piper,Legal,80,"['en-GB', 'fr-FR', 'de-DE']","['Legal', 'Documentation']"
28,Samsung,Manufacturing,190,"['ko-KR', 'ja-JP', 'zh-CN', 'fr-FR', 'de-DE']","['UI', 'Documentation', 'Marketing']"
29,Amazon,Retail,300,"['fr-FR', 'de-DE', 'es-ES', 'it-IT', 'ja-JP']","['UI', 'Documentation', 'Marketing']"
30,Disney,Media & Entertainment,220,"['fr-FR', 'de-DE', 'es-ES', 'ja-JP', 'ko-KR']","['Subtitles', 'Marketing', 'UI']"
